id,autori
http://www.wikidata.org/entity/Q36484102,Maria Gioia Tavoni (femmina); Valentina Comba (femmina)
http://www.wikidata.org/entity/Q36484107,Vilma Alberani (femmina)
http://www.wikidata.org/entity/Q36484116,Maria Antonia Modolo (femmina); Marcello Catanelli (maschio)
http://www.wikidata.org/entity/Q58302558,Francesca Tomasi (femmina)
http://www.wikidata.org/entity/Q58424166,Maria Gioia Tavoni (femmina)
http://www.wikidata.org/entity/Q59096082,Marilena Daquino (femmina); Francesca Tomasi (femmina)
http://www.wikidata.org/entity/Q59388182,Phoebe Ayers (femmina); Andrea Zanni (maschio)
http://www.wikidata.org/entity/Q65594178,Evelina Borea (femmina)
http://www.wikidata.org/entity/Q69559758,Francesca Tomasi (femmina)
http://www.wikidata.org/entity/Q103899589,Francesca Tomasi (femmina)
http://www.wikidata.org/entity/Q103915833,Lisa Janicke Hinchliffe (femmina)
http://www.wikidata.org/entity/Q103918264,Karen Coyle (femmina)
http://www.wikidata.org/entity/Q103919294,Anne-Marie Bertrand (femmina)
http://www.wikidata.org/entity/Q103919328,Maria Stella Rasetti (femmina)
http://www.wikidata.org/entity/Q103948977,Maryanne Wolf (femmina); Mirit Barzillai (femmina)
http://www.wikidata.org/entity/Q103948999,Maria Gioia Tavoni (femmina)
http://www.wikidata.org/entity/Q104382470,Maria Stella Rasetti (femmina)
http://www.wikidata.org/entity/Q105491113,Tatjana Aparac-Jelušić (femmina)
http://www.wikidata.org/entity/Q109854359,Sista Bramini (femmina)
http://www.wikidata.org/entity/Q109854566,Elisabetta Longari (femmina)
http://www.wikidata.org/entity/Q109854600,Francesca Gallo (femmina)
http://www.wikidata.org/entity/Q109854616,Alessandra Pioselli (femmina)
http://www.wikidata.org/entity/Q111732055,Elena Barassi Ferrari (femmina)
http://www.wikidata.org/entity/Q111732248,Elena Barassi Ferrari (femmina)
http://www.wikidata.org/entity/Q111732265,Elena Barassi Ferrari (femmina); Antonio Delfino (maschio); Laura Mauri Vigevani (femmina)
http://www.wikidata.org/entity/Q117447506,Francesca Tomasi (femmina); Valentina Pasqual (femmina)
http://www.wikidata.org/entity/Q123925890,Francesca Tomasi (femmina); Paolo Bonora (maschio); Lucia Giagnolini (femmina); Alessandra Di Tella (femmina)
http://www.wikidata.org/entity/Q123925898,Dacia Maraini (femmina)
http://www.wikidata.org/entity/Q127691547,Lodovica Braida (femmina)
http://www.wikidata.org/entity/Q128694025,Ileana Pagani (femmina)
http://www.wikidata.org/entity/Q134393761,Clelia Laviosa (femmina); Giacomo Caputo (maschio); Giorgio Monaco (maschio); Piera Bocci Pacini (femmina); Anna Talocchini (femmina); Mario Bizzarri (maschio)
http://www.wikidata.org/entity/Q135102882,Lodovica Braida (femmina)
http://www.wikidata.org/entity/Q136658175,Laura Evangelista (femmina)
http://www.wikidata.org/entity/Q48625754,Tania Maio (femmina); Claudio Forziati (maschio)
http://www.wikidata.org/entity/Q57976823,Alessandra Boccone (femmina); Tania Maio (femmina); Claudio Forziati (maschio); Remo Rivelli (maschio)
http://www.wikidata.org/entity/Q58356899,Anna Giulia Cavagna (femmina)
http://www.wikidata.org/entity/Q58387648,Fiammetta Sabba (femmina)
http://www.wikidata.org/entity/Q58670918,Erika Squassina (femmina)
http://www.wikidata.org/entity/Q58670922,Rita De Tata (femmina)
http://www.wikidata.org/entity/Q58670929,Giulia Crippa (femmina)
http://www.wikidata.org/entity/Q58670932,Francesca Nepori (femmina)
http://www.wikidata.org/entity/Q58773243,Fiammetta Sabba (femmina)
http://www.wikidata.org/entity/Q58773264,Grazia Biorci (femmina)
http://www.wikidata.org/entity/Q58953729,Fiammetta Sabba (femmina)
http://www.wikidata.org/entity/Q58953763,Dorit Raines (femmina)
http://www.wikidata.org/entity/Q58953796,Fiammetta Sabba (femmina)
http://www.wikidata.org/entity/Q58954188,Paola Molino (femmina)
http://www.wikidata.org/entity/Q58954224,Simona Turbanti (femmina)
http://www.wikidata.org/entity/Q59096081,Antonella Trombone (femmina)
http://www.wikidata.org/entity/Q59096090,Angela Nuovo (femmina); Erika Squassina (femmina)
http://www.wikidata.org/entity/Q59096089,Rosa Marisa Borraccini (femmina)
http://www.wikidata.org/entity/Q59096094,Fiammetta Sabba (femmina); Anna Giulia Cavagna (femmina)
http://www.wikidata.org/entity/Q59137262,Francesca Nepori (femmina)
http://www.wikidata.org/entity/Q59137264,Fiammetta Sabba (femmina)
http://www.wikidata.org/entity/Q59137268,Fiammetta Sabba (femmina)
http://www.wikidata.org/entity/Q59208097,Fiammetta Sabba (femmina)
http://www.wikidata.org/entity/Q59259740,Paola Molino (femmina)
http://www.wikidata.org/entity/Q59259749,Francesca Nepori (femmina)
http://www.wikidata.org/entity/Q59265395,Grazia Biorci (femmina)
http://www.wikidata.org/entity/Q59265397,Fiammetta Sabba (femmina)
http://www.wikidata.org/entity/Q59281536,Paola Molino (femmina)
http://www.wikidata.org/entity/Q59388176,Maria Teresa Biagetti (femmina)
http://www.wikidata.org/entity/Q60907273,Fiammetta Sabba (femmina)
http://www.wikidata.org/entity/Q60907356,Giulia Crippa (femmina)
http://www.wikidata.org/entity/Q60907422,Maria Teresa Biagetti (femmina)
http://www.wikidata.org/entity/Q60907435,Fiammetta Sabba (femmina); Roberta Cesana (femmina)
http://www.wikidata.org/entity/Q64712107,Francesca Nepori (femmina)
http://www.wikidata.org/entity/Q64712116,Alessandra Boccone (femmina); Remo Rivelli (maschio)
http://www.wikidata.org/entity/Q69646153,Fiammetta Sabba (femmina)
http://www.wikidata.org/entity/Q82515164,Francesca Nepori (femmina)
http://www.wikidata.org/entity/Q82515170,Fiammetta Sabba (femmina)
http://www.wikidata.org/entity/Q96623090,Rosa Marisa Borraccini (femmina)
http://www.wikidata.org/entity/Q102116015,Anna Maria Tammaro (femmina)
http://www.wikidata.org/entity/Q102391845,Anna Maria Tammaro (femmina)
http://www.wikidata.org/entity/Q102392285,Simona Turbanti (femmina)
http://www.wikidata.org/entity/Q102392889,Anna Maria Tammaro (femmina)
http://www.wikidata.org/entity/Q102393759,Anna Maria Tammaro (femmina)
http://www.wikidata.org/entity/Q102503100,Fiammetta Sabba (femmina)
http://www.wikidata.org/entity/Q103899610,Alessandra Boccone (femmina); Tania Maio (femmina)
http://www.wikidata.org/entity/Q103901278,Anna Maria Tammaro (femmina)
http://www.wikidata.org/entity/Q103901289,Maria Teresa Biagetti (femmina)
http://www.wikidata.org/entity/Q103915827,Antonella Trombone (femmina)
http://www.wikidata.org/entity/Q103915836,Anna Maria Tammaro (femmina); Matilde Fontanin (femmina)
http://www.wikidata.org/entity/Q103915883,Valeria Lo Castro (femmina)
http://www.wikidata.org/entity/Q103915893,Simona Turbanti (femmina)
http://www.wikidata.org/entity/Q103918211,Valeria Lo Castro (femmina)
http://www.wikidata.org/entity/Q103918215,Simona Turbanti (femmina)
http://www.wikidata.org/entity/Q103918253,Valeria Lo Castro (femmina)
http://www.wikidata.org/entity/Q103918370,Antonella Trombone (femmina)
http://www.wikidata.org/entity/Q103918373,Fiammetta Sabba (femmina); Giorgia Plachesi (femmina)
http://www.wikidata.org/entity/Q103919394,Antonella De Robbio (femmina)
http://www.wikidata.org/entity/Q103919620,Simona Turbanti (femmina)
http://www.wikidata.org/entity/Q103949266,Valeria Lo Castro (femmina)
http://www.wikidata.org/entity/Q103949445,Anna Maria Tammaro (femmina)
http://www.wikidata.org/entity/Q104057116,Anna Maria Tammaro (femmina)
http://www.wikidata.org/entity/Q104382458,Anna Maria Tammaro (femmina)
http://www.wikidata.org/entity/Q104455507,Anna Maria Tammaro (femmina)
http://www.wikidata.org/entity/Q104786698,Fiammetta Sabba (femmina)
http://www.wikidata.org/entity/Q104786704,Francesca Nepori (femmina)
http://www.wikidata.org/entity/Q107395001,Fiammetta Sabba (femmina); Annantonia Martorano (femmina); Elisabetta Angrisano (femmina); Biancamaria Brumana (femmina); Cinzia Cardinali (femmina); Silvia Calamandrei (femmina); Laura Giambastiani (femmina)
http://www.wikidata.org/entity/Q109854336,Giulia Crippa (femmina)
http://www.wikidata.org/entity/Q109854360,Laura Menatti (femmina)
http://www.wikidata.org/entity/Q109854721,Giulia Crippa (femmina)
http://www.wikidata.org/entity/Q110386763,Fiammetta Sabba (femmina); Lucia Sardo (femmina); Carlo Bianchini (maschio)
