id,pagine
http://www.wikidata.org/entity/Q33144512,113-117
http://www.wikidata.org/entity/Q33144721,541-547
http://www.wikidata.org/entity/Q36464134,1163-1166
http://www.wikidata.org/entity/Q36464142,1271
http://www.wikidata.org/entity/Q36464146,1315-1317
http://www.wikidata.org/entity/Q36484095,1207
http://www.wikidata.org/entity/Q36484102,1215-1219
http://www.wikidata.org/entity/Q36484107,1223-1227
http://www.wikidata.org/entity/Q36484116,1235-1236
http://www.wikidata.org/entity/Q36484122,1239-1240
http://www.wikidata.org/entity/Q36484126,1241-1242
http://www.wikidata.org/entity/Q36484132,1243-1244
http://www.wikidata.org/entity/Q36484137,1245-1246
http://www.wikidata.org/entity/Q36484143,1247-1249
http://www.wikidata.org/entity/Q36484148,1251-1252
http://www.wikidata.org/entity/Q36484157,1253-1254
http://www.wikidata.org/entity/Q36484160,1255-1259
http://www.wikidata.org/entity/Q36484165,1261-1263
http://www.wikidata.org/entity/Q36484169,1267
http://www.wikidata.org/entity/Q36484173,1269
http://www.wikidata.org/entity/Q36484177,1273
http://www.wikidata.org/entity/Q36484182,1275-1276
http://www.wikidata.org/entity/Q36484194,1293
http://www.wikidata.org/entity/Q36484198,1295
http://www.wikidata.org/entity/Q36484219,1353-1362
http://www.wikidata.org/entity/Q48625754,71-80
http://www.wikidata.org/entity/Q56736038,303-323
http://www.wikidata.org/entity/Q57976823,255-284
http://www.wikidata.org/entity/Q58124093,123-142
http://www.wikidata.org/entity/Q58302558,17-40
http://www.wikidata.org/entity/Q58349819,41-110
http://www.wikidata.org/entity/Q58350077,111-146
http://www.wikidata.org/entity/Q58356273,147-190
http://www.wikidata.org/entity/Q58356286,191-254
http://www.wikidata.org/entity/Q58356899,1-16
http://www.wikidata.org/entity/Q58379186,285-306
http://www.wikidata.org/entity/Q58379187,307-338
http://www.wikidata.org/entity/Q58379188,339-383
http://www.wikidata.org/entity/Q58387646,384-391
http://www.wikidata.org/entity/Q58387647,392-397
http://www.wikidata.org/entity/Q58387650,408-443
http://www.wikidata.org/entity/Q58387648,398-407
http://www.wikidata.org/entity/Q58424166,444-452
http://www.wikidata.org/entity/Q58670918,9-38
http://www.wikidata.org/entity/Q58670922,39-91
http://www.wikidata.org/entity/Q58670923,92-153
http://www.wikidata.org/entity/Q58670920,1-8
http://www.wikidata.org/entity/Q58670927,178-232
http://www.wikidata.org/entity/Q58670925,154-177
http://www.wikidata.org/entity/Q58670929,233-264
http://www.wikidata.org/entity/Q58670935,317-360
http://www.wikidata.org/entity/Q58670932,265-297
http://www.wikidata.org/entity/Q58670933,298-316
http://www.wikidata.org/entity/Q58670939,370-385
http://www.wikidata.org/entity/Q58670937,361-369
http://www.wikidata.org/entity/Q58670940,386-424
http://www.wikidata.org/entity/Q58773238,3-57
http://www.wikidata.org/entity/Q58773236,1-2
http://www.wikidata.org/entity/Q58773243,105-149
http://www.wikidata.org/entity/Q58773241,58-104
http://www.wikidata.org/entity/Q58773247,188-234
http://www.wikidata.org/entity/Q58773245,150-187
http://www.wikidata.org/entity/Q58773251,264-319
http://www.wikidata.org/entity/Q58773249,235-263
http://www.wikidata.org/entity/Q58773254,326-338
http://www.wikidata.org/entity/Q58773253,320-325
http://www.wikidata.org/entity/Q58773258,339-347
http://www.wikidata.org/entity/Q58773260,348-390
http://www.wikidata.org/entity/Q58773261,391-404
http://www.wikidata.org/entity/Q58773267,430-431
http://www.wikidata.org/entity/Q58773264,405-429
http://www.wikidata.org/entity/Q58826209,11-16
http://www.wikidata.org/entity/Q58953729,1-6
http://www.wikidata.org/entity/Q58953763,7-39
http://www.wikidata.org/entity/Q58953796,40-73
http://www.wikidata.org/entity/Q58953832,74-115
http://www.wikidata.org/entity/Q58953868,116-142
http://www.wikidata.org/entity/Q58953902,143-176
http://www.wikidata.org/entity/Q58953937,177-200
http://www.wikidata.org/entity/Q58953970,201-258
http://www.wikidata.org/entity/Q58954003,259-336
http://www.wikidata.org/entity/Q58954040,337-353
