id,titolo,artisti,data_creazione,generi,luoghi,collezioni,contenuti,movimenti,soggetti,altezza,larghezza
http://www.wikidata.org/entity/Q428274,"Ritratto di Fedra Inghirami, detto Fedra",Raffaello Sanzio (maschio),1510,ritratto,Galleria Palatina,Galleria Palatina,libro; carta; scrittura; strabismo; posizione seduta; scrivania; calamaio; Tommaso Inghirami,Alto Rinascimento,Tommaso Inghirami,91.0,61.0
http://www.wikidata.org/entity/Q151047,Nascita di Venere,Sandro Botticelli (maschio),1485,nudo artistico; pittura mitologica,,Palazzo degli Uffizi,mare; donna; cielo; vento; albero; Afrodite; capelli lunghi; ombelico; Venere; conchiglia; Ore; angelo; Zefiro; riviera; pianta fiorita; linea costiera; nascita; nascita di Afrodite,Rinascimento; Primo Rinascimento,Venere Anadiomene; nascita di Afrodite,172.5,278.5
http://www.wikidata.org/entity/Q180632,Ritratto di Paolo III con i nipoti Alessandro e Ottavio Farnese,Tiziano Vecellio (maschio),1546,ritratto; ritratto di gruppo,Museo nazionale di Capodimonte,Museo nazionale di Capodimonte,tavolo; tenda; papa Paolo III; Ottavio Farnese; Alessandro Farnese il Giovane; tovaglia,manierismo; pittura veneta,papa Paolo III,210.0,176.0
http://www.wikidata.org/entity/Q368788,Pietà,Perugino (maschio),1483,arte religiosa,Palazzo degli Uffizi,Palazzo degli Uffizi,Gesù; donna; Maria; uomo,rinascimento italiano,Pietà,168.0,176.0
http://www.wikidata.org/entity/Q549847,Primavera,Sandro Botticelli (maschio),1480,allegoria; pittura mitologica,Palazzo Medici Riccardi; Galleria delle pitture e delle statue degli Uffizi,Palazzo degli Uffizi,mela; donna; fiore; Mercurio; primavera; Cupido; albero; spada; Demetra; Ermes; Venere; freccia; gemma; Cariti; Flora; Zefiro; pianta fiorita; Clori; giardino; arancio,Primo Rinascimento,primavera,207.0,319.0
http://www.wikidata.org/entity/Q488825,Adorazione dei Magi,Sandro Botticelli (maschio),1475,arte religiosa,Palazzo degli Uffizi,Palazzo degli Uffizi,Maria; Sandro Botticelli; Laurus nobilis; Giovanni Argiropulo; Lorenzo de' Medici; Cosimo de' Medici; corona; Giovanni Pico della Mirandola; rovine; San Giuseppe; Filippo Strozzi il Vecchio; Agnolo Poliziano; dono; Teodoro Gaza; Giuliano de' Medici; Adorazione dei Magi; Piero il Gottoso; Bambino Gesù; Giovanni di Cosimo de' Medici; ritratto del donatore; turbante; mangiatoia; Lorenzo Tornabuoni,Primo Rinascimento; pittura rinascimentale italiana,Adorazione dei Magi,111.0,134.0
http://www.wikidata.org/entity/Q532486,Giuditta con la sua ancella,Artemisia Gentileschi (femmina),1610,arte religiosa,Palazzo Pitti,Galleria Palatina,Giuditta e Oloferne; Giuditta,,Giuditta e Oloferne,114.0,93.5
http://www.wikidata.org/entity/Q493792,Ritratto di Andrea Doria nelle vesti di Nettuno,Agnolo Bronzino (maschio),1545,nudo artistico; allegoria; portrait historié,Pinacoteca di Brera,Pinacoteca di Brera,Nettuno; nudità; Andrea Doria; albero; tridente; panneggio,manierismo,Andrea Doria,115.0,53.0
http://www.wikidata.org/entity/Q546297,Cristo morto nel sepolcro e tre dolenti,Andrea Mantegna (maschio),1483,arte religiosa,Pinacoteca di Brera,Pinacoteca di Brera,Gesù; Compianto sul Cristo morto,Primo Rinascimento; pittura rinascimentale italiana,Compianto sul Cristo morto,68.0,81.0
http://www.wikidata.org/entity/Q580853,Madonna col Bambino degli Innocenti,Sandro Botticelli (maschio),1465,arte religiosa,Spedale degli Innocenti,Museo degli innocenti,Maria; madre; angelo; Bambino Gesù; Madonna col Bambino,Primo Rinascimento,Madonna col Bambino,87.0,60.0
