id,altezza
http://www.wikidata.org/entity/Q592551,
http://www.wikidata.org/entity/Q945625,
http://www.wikidata.org/entity/Q2551625,
http://www.wikidata.org/entity/Q3698204,
http://www.wikidata.org/entity/Q3714445,
http://www.wikidata.org/entity/Q3862624,
http://www.wikidata.org/entity/Q3877894,
http://www.wikidata.org/entity/Q3908184,
http://www.wikidata.org/entity/Q3945254,
http://www.wikidata.org/entity/Q3948034,
http://www.wikidata.org/entity/Q3948651,
http://www.wikidata.org/entity/Q3949208,
http://www.wikidata.org/entity/Q3949310,
http://www.wikidata.org/entity/Q3949373,
http://www.wikidata.org/entity/Q3949458,
http://www.wikidata.org/entity/Q3949459,
http://www.wikidata.org/entity/Q3974449,
http://www.wikidata.org/entity/Q3994163,
http://www.wikidata.org/entity/Q151047,172.5
http://www.wikidata.org/entity/Q180632,210
http://www.wikidata.org/entity/Q368788,168
http://www.wikidata.org/entity/Q428274,91
http://www.wikidata.org/entity/Q15157527,
http://www.wikidata.org/entity/Q488825,111
http://www.wikidata.org/entity/Q493792,115
http://www.wikidata.org/entity/Q532486,114
http://www.wikidata.org/entity/Q16585871,
http://www.wikidata.org/entity/Q546297,68
http://www.wikidata.org/entity/Q549847,207
http://www.wikidata.org/entity/Q580853,87
http://www.wikidata.org/entity/Q19390001,
http://www.wikidata.org/entity/Q20744065,
http://www.wikidata.org/entity/Q20744144,
http://www.wikidata.org/entity/Q20744173,
http://www.wikidata.org/entity/Q672817,278
http://www.wikidata.org/entity/Q21192549,
http://www.wikidata.org/entity/Q21666329,
http://www.wikidata.org/entity/Q732821,98
http://www.wikidata.org/entity/Q733017,223
http://www.wikidata.org/entity/Q734197,150
http://www.wikidata.org/entity/Q22917444,
http://www.wikidata.org/entity/Q22949778,
http://www.wikidata.org/entity/Q22949827,
http://www.wikidata.org/entity/Q22958240,
http://www.wikidata.org/entity/Q23006207,
http://www.wikidata.org/entity/Q742801,51
http://www.wikidata.org/entity/Q794077,118
http://www.wikidata.org/entity/Q24933808,
http://www.wikidata.org/entity/Q26256901,
http://www.wikidata.org/entity/Q26488380,
http://www.wikidata.org/entity/Q867678,136
http://www.wikidata.org/entity/Q27504416,
http://www.wikidata.org/entity/Q27507068,
http://www.wikidata.org/entity/Q28229077,
http://www.wikidata.org/entity/Q924655,398
http://www.wikidata.org/entity/Q29114098,
http://www.wikidata.org/entity/Q945250,52
http://www.wikidata.org/entity/Q948034,82
http://www.wikidata.org/entity/Q955295,61.9
http://www.wikidata.org/entity/Q959174,57.5
http://www.wikidata.org/entity/Q30605361,
http://www.wikidata.org/entity/Q1055111,95
http://www.wikidata.org/entity/Q1109340,167
http://www.wikidata.org/entity/Q1109475,202
http://www.wikidata.org/entity/Q1110146,380
http://www.wikidata.org/entity/Q1111232,69
http://www.wikidata.org/entity/Q1113938,67.7
http://www.wikidata.org/entity/Q1114823,41
http://www.wikidata.org/entity/Q1114856,65
http://www.wikidata.org/entity/Q1114881,211
http://www.wikidata.org/entity/Q1115413,85
http://www.wikidata.org/entity/Q1115423,106
http://www.wikidata.org/entity/Q1119008,175
http://www.wikidata.org/entity/Q1119782,230
http://www.wikidata.org/entity/Q1121644,21
http://www.wikidata.org/entity/Q1122002,275
http://www.wikidata.org/entity/Q1122537,300
http://www.wikidata.org/entity/Q1131263,378
http://www.wikidata.org/entity/Q1132486,154
http://www.wikidata.org/entity/Q1132479,408
http://www.wikidata.org/entity/Q1134060,94
http://www.wikidata.org/entity/Q37027223,
http://www.wikidata.org/entity/Q1195035,112
http://www.wikidata.org/entity/Q1212920,67.5
http://www.wikidata.org/entity/Q1215809,220
http://www.wikidata.org/entity/Q1217187,62
http://www.wikidata.org/entity/Q1237596,461
http://www.wikidata.org/entity/Q1240092,141
http://www.wikidata.org/entity/Q1328065,115
http://www.wikidata.org/entity/Q42189297,
http://www.wikidata.org/entity/Q1448203,237
http://www.wikidata.org/entity/Q1448701,178
http://www.wikidata.org/entity/Q1460271,203
http://www.wikidata.org/entity/Q46998093,
http://www.wikidata.org/entity/Q51212996,
http://www.wikidata.org/entity/Q51918916,
http://www.wikidata.org/entity/Q1751408,258
http://www.wikidata.org/entity/Q1761496,170
http://www.wikidata.org/entity/Q1762826,78
http://www.wikidata.org/entity/Q56258104,
http://www.wikidata.org/entity/Q56258413,
http://www.wikidata.org/entity/Q56318135,
http://www.wikidata.org/entity/Q56323639,
http://www.wikidata.org/entity/Q56599032,
http://www.wikidata.org/entity/Q56776954,
http://www.wikidata.org/entity/Q1863885,160
http://www.wikidata.org/entity/Q58177339,
http://www.wikidata.org/entity/Q58178579,
http://www.wikidata.org/entity/Q58181750,
http://www.wikidata.org/entity/Q58480176,
http://www.wikidata.org/entity/Q1899740,668
http://www.wikidata.org/entity/Q59914107,
http://www.wikidata.org/entity/Q2011510,95
http://www.wikidata.org/entity/Q2016193,325
http://www.wikidata.org/entity/Q2030685,175
http://www.wikidata.org/entity/Q2035209,84.4
http://www.wikidata.org/entity/Q2045726,42.8
http://www.wikidata.org/entity/Q63994924,
http://www.wikidata.org/entity/Q63995247,
http://www.wikidata.org/entity/Q2066739,480
http://www.wikidata.org/entity/Q2092566,187
http://www.wikidata.org/entity/Q2097931,141
http://www.wikidata.org/entity/Q2247307,273
http://www.wikidata.org/entity/Q69859246,
http://www.wikidata.org/entity/Q2264942,390
http://www.wikidata.org/entity/Q2267509,31
http://www.wikidata.org/entity/Q2268013,100
http://www.wikidata.org/entity/Q2269585,58
http://www.wikidata.org/entity/Q2269291,143.5
http://www.wikidata.org/entity/Q2270291,67.5
http://www.wikidata.org/entity/Q2273517,230
http://www.wikidata.org/entity/Q2275371,130
http://www.wikidata.org/entity/Q2275353,123
http://www.wikidata.org/entity/Q2277635,380
http://www.wikidata.org/entity/Q2284829,104
http://www.wikidata.org/entity/Q2293905,60
http://www.wikidata.org/entity/Q2293936,67
http://www.wikidata.org/entity/Q71126799,
http://www.wikidata.org/entity/Q2325834,128
http://www.wikidata.org/entity/Q2327715,314
http://www.wikidata.org/entity/Q2337873,292
http://www.wikidata.org/entity/Q2338404,43
http://www.wikidata.org/entity/Q2338417,323
http://www.wikidata.org/entity/Q2343939,43
http://www.wikidata.org/entity/Q2405771,61
http://www.wikidata.org/entity/Q2426058,205
http://www.wikidata.org/entity/Q2448678,268
http://www.wikidata.org/entity/Q2459887,75
http://www.wikidata.org/entity/Q2470123,145
http://www.wikidata.org/entity/Q2472983,365
http://www.wikidata.org/entity/Q2515309,65
http://www.wikidata.org/entity/Q78330040,
http://www.wikidata.org/entity/Q78756742,
http://www.wikidata.org/entity/Q78783346,
http://www.wikidata.org/entity/Q78799218,
http://www.wikidata.org/entity/Q78910398,
