id,artisti
http://www.wikidata.org/entity/Q1113938,
http://www.wikidata.org/entity/Q1119008,
http://www.wikidata.org/entity/Q3889229,
http://www.wikidata.org/entity/Q3889255,
http://www.wikidata.org/entity/Q3904398,
http://www.wikidata.org/entity/Q3907344,
http://www.wikidata.org/entity/Q3910913,
http://www.wikidata.org/entity/Q3937438,
http://www.wikidata.org/entity/Q3937598,
http://www.wikidata.org/entity/Q3947723,
http://www.wikidata.org/entity/Q3949458,
http://www.wikidata.org/entity/Q3949459,
http://www.wikidata.org/entity/Q4006302,
http://www.wikidata.org/entity/Q151047,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q180632,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q368788,Perugino (maschio)
http://www.wikidata.org/entity/Q428274,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q488825,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q15157527,
http://www.wikidata.org/entity/Q493792,Agnolo Bronzino (maschio)
http://www.wikidata.org/entity/Q532486,Artemisia Gentileschi (femmina)
http://www.wikidata.org/entity/Q16585871,
http://www.wikidata.org/entity/Q546297,Andrea Mantegna (maschio)
http://www.wikidata.org/entity/Q549847,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q580853,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q592551,Perugino (maschio)
http://www.wikidata.org/entity/Q672817,Perugino (maschio)
http://www.wikidata.org/entity/Q21192549,
http://www.wikidata.org/entity/Q732821,Jacopo de' Barbari (maschio)
http://www.wikidata.org/entity/Q733017,Pisanello (maschio)
http://www.wikidata.org/entity/Q734197,Giotto (maschio)
http://www.wikidata.org/entity/Q742801,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q794077,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q867678,Parmigianino (maschio)
http://www.wikidata.org/entity/Q924655,Jacopo Tintoretto (maschio)
http://www.wikidata.org/entity/Q945250,Perugino (maschio)
http://www.wikidata.org/entity/Q945625,Michelangelo Buonarroti (maschio)
http://www.wikidata.org/entity/Q948034,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q955295,Carlo Crivelli (maschio)
http://www.wikidata.org/entity/Q959174,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q1055111,Filippo Lippi (maschio)
http://www.wikidata.org/entity/Q32904769,
http://www.wikidata.org/entity/Q1109340,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q1109475,Pontormo (maschio)
http://www.wikidata.org/entity/Q1110146,Il Moretto (maschio)
http://www.wikidata.org/entity/Q1111232,Jacopo Bellini (maschio)
http://www.wikidata.org/entity/Q1114823,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q1114856,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q1114881,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q1115413,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q1115423,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q1119782,Filippino Lippi (maschio)
http://www.wikidata.org/entity/Q1121644,Giovanni Fattori (maschio)
http://www.wikidata.org/entity/Q1122002,Giovanni Bellini (maschio)
http://www.wikidata.org/entity/Q1122537,Caravaggio (maschio)
http://www.wikidata.org/entity/Q1131263,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q1132479,Caravaggio (maschio)
http://www.wikidata.org/entity/Q1132486,Caravaggio (maschio)
http://www.wikidata.org/entity/Q1134060,Peter Paul Rubens (maschio)
http://www.wikidata.org/entity/Q1195035,Francesco Hayez (maschio)
http://www.wikidata.org/entity/Q1212920,Piero della Francesca (maschio)
http://www.wikidata.org/entity/Q1215809,Beato Angelico (maschio)
http://www.wikidata.org/entity/Q1217187,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q1237596,Pontormo (maschio)
http://www.wikidata.org/entity/Q1240092,Diego Velázquez (maschio)
http://www.wikidata.org/entity/Q1328065,Agnolo Bronzino (maschio)
http://www.wikidata.org/entity/Q42189297,
http://www.wikidata.org/entity/Q1448203,Caravaggio (maschio)
http://www.wikidata.org/entity/Q1448701,Caravaggio (maschio)
http://www.wikidata.org/entity/Q1460271,Caravaggio (maschio)
http://www.wikidata.org/entity/Q45381203,
http://www.wikidata.org/entity/Q53940665,
http://www.wikidata.org/entity/Q1751408,Giovanni Bellini (maschio)
http://www.wikidata.org/entity/Q1761496,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q1762826,Giovanni Bellini (maschio)
http://www.wikidata.org/entity/Q54811281,
http://www.wikidata.org/entity/Q56258104,
http://www.wikidata.org/entity/Q56258413,
http://www.wikidata.org/entity/Q56417895,
http://www.wikidata.org/entity/Q56417994,
http://www.wikidata.org/entity/Q56599032,
http://www.wikidata.org/entity/Q1863885,Rosso Fiorentino (maschio)
http://www.wikidata.org/entity/Q1899740,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q2011510,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2016193,Giotto (maschio)
http://www.wikidata.org/entity/Q2030685,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q2035209,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q2045726,Leonardo da Vinci (maschio)
http://www.wikidata.org/entity/Q2066739,Andrea Mantegna (maschio)
http://www.wikidata.org/entity/Q2092566,Piero del Pollaiolo (maschio)
http://www.wikidata.org/entity/Q2097931,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2247307,Piero della Francesca (maschio)
http://www.wikidata.org/entity/Q2264942,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2267509,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q2268013,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q2269291,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q2269585,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q2270291,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2273517,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2275353,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2275371,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2277635,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2284829,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2293905,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2293936,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2325834,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2327715,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2337873,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2338404,Leonardo da Vinci (maschio)
http://www.wikidata.org/entity/Q2338417,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2343939,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q2405771,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q2426058,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q2448678,Guido Reni (maschio)
http://www.wikidata.org/entity/Q2459887,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q2470123,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2472983,Jacopo Tintoretto (maschio)
http://www.wikidata.org/entity/Q2515309,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q78783346,
http://www.wikidata.org/entity/Q78799218,
http://www.wikidata.org/entity/Q78910398,
http://www.wikidata.org/entity/Q2551625,Sandro Botticelli (maschio)
http://www.wikidata.org/entity/Q2610729,Raffaello Sanzio (maschio)
http://www.wikidata.org/entity/Q2610936,Caravaggio (maschio)
http://www.wikidata.org/entity/Q2626595,Caravaggio (maschio)
