id,contenuti
http://www.wikidata.org/entity/Q2635552,papa Paolo III
http://www.wikidata.org/entity/Q2665840,Gesù; Maria; capelli lunghi; Maria Maddalena; angelo; Pietà; Sibilla Ellespontica
http://www.wikidata.org/entity/Q2713203,Maria; donna; ragazzo; madre; Bambino Gesù
http://www.wikidata.org/entity/Q2713823,mela; fiume; montagna; Francesco Maria I della Rovere; giovane uomo
http://www.wikidata.org/entity/Q2714237,Maria; donna; finestra; paesaggio; Gabriele; Annunciazione; ala; angelo; leggio; hortus conclusus; edificio; Giglio
http://www.wikidata.org/entity/Q2715177,Sofronio Eusebio Girolamo
http://www.wikidata.org/entity/Q2715302,Maria; serpente; capelli lunghi; Sant'Anna; Metterza; gimnopodismo; chignon; Bambino Gesù; castani; velo
http://www.wikidata.org/entity/Q2717478,Maria; donna; ragazzo; madre; Bambino Gesù
http://www.wikidata.org/entity/Q2732274,donna; perla; capelli lunghi; Maria Maddalena; abito da donna; coda di cavallo; posizione seduta; mortificazione; bijou
http://www.wikidata.org/entity/Q2734111,papa Urbano VIII
http://www.wikidata.org/entity/Q2866382,Gesù; uomo
http://www.wikidata.org/entity/Q2872721,Jacques-Louis David
http://www.wikidata.org/entity/Q2920183,Maria; luce; Gabriele; Annunciazione; angelo; putto
http://www.wikidata.org/entity/Q2929922,
http://www.wikidata.org/entity/Q3044873,Gesù; uomo
http://www.wikidata.org/entity/Q3185885,
http://www.wikidata.org/entity/Q3201479,Maria; donna; ragazzo; Magi; Adorazione dei Magi; adorazione; Bambino Gesù
http://www.wikidata.org/entity/Q3207247,lanciere
http://www.wikidata.org/entity/Q3207678,Gesù; Maria; Compianto sul Cristo morto
http://www.wikidata.org/entity/Q3207989,Gesù; donna; uomo; crocifissione di Gesù; capelli lunghi; Maria Maddalena; Sofronio Eusebio Girolamo
http://www.wikidata.org/entity/Q3210267,Gesù; Maria; donna; ragazzo; madre; Bambino Gesù; Madonna col Bambino
http://www.wikidata.org/entity/Q3213773,Maria; donna; ragazzo; madre; angelo; Bambino Gesù
http://www.wikidata.org/entity/Q3213778,Maria; angelo; Bambino Gesù; Madonna col Bambino; San Giovannino
http://www.wikidata.org/entity/Q3213801,Maria; donna; ragazzo; madre; Bambino Gesù
http://www.wikidata.org/entity/Q3220282,Gesù; uomo; Giovanni Battista; battesimo di Gesù
http://www.wikidata.org/entity/Q3223625,piante; nudità; Giovanni Battista; montone; panneggio
http://www.wikidata.org/entity/Q3276171,Maria; donna; ragazzo; madre; Bambino Gesù
http://www.wikidata.org/entity/Q3276168,Maria; donna; ragazzo; Bambino Gesù
http://www.wikidata.org/entity/Q3276180,Maria; donna; ragazzo; madre; Bambino Gesù
http://www.wikidata.org/entity/Q3399438,finestra; Giuliano de' Medici; spazio interno
http://www.wikidata.org/entity/Q3463871,San Giovannino
http://www.wikidata.org/entity/Q3464027,Pietro
http://www.wikidata.org/entity/Q3471589,Paolo di Tarso
http://www.wikidata.org/entity/Q3472935,Stefano
http://www.wikidata.org/entity/Q3495790,donna; Salomè; testa umana; vassoio
http://www.wikidata.org/entity/Q3605530,Maria; donna; ragazzo; Magi; Bambino Gesù; Adorazione dei Magi
http://www.wikidata.org/entity/Q3605532,Maria; donna; ragazzo; Magi; Bambino Gesù; adorazione
http://www.wikidata.org/entity/Q3605568,Maria; Dio nel Cristianesimo; Spirito Santo; nascita di Gesù; Bambino Gesù; San Romualdo; Madonna col Bambino; San Giovannino
http://www.wikidata.org/entity/Q3618188,Maria; donna
http://www.wikidata.org/entity/Q3620766,
http://www.wikidata.org/entity/Q3620765,apoteosi
http://www.wikidata.org/entity/Q3623738,Giuseppe
http://www.wikidata.org/entity/Q3625842,Cosimo I de' Medici
http://www.wikidata.org/entity/Q3627401,Maria; donna
http://www.wikidata.org/entity/Q3630726,Hans Holbein il Giovane
http://www.wikidata.org/entity/Q3636748,Gesù; Giovanni Battista; battesimo di Gesù
http://www.wikidata.org/entity/Q3639064,
http://www.wikidata.org/entity/Q3642142,papa Bonifacio VIII
http://www.wikidata.org/entity/Q3650885,
http://www.wikidata.org/entity/Q3685501,Gesù; uomo; Comunione degli Apostoli
http://www.wikidata.org/entity/Q3686814,Floriano di Lorch
http://www.wikidata.org/entity/Q3697588,Gesù; Cristo alla colonna
http://www.wikidata.org/entity/Q3697602,Gesù; uomo; Imago pietatis; aureola
http://www.wikidata.org/entity/Q3697640,Gesù; uomo; barba; Risurrezione di Gesù; Apollo; cadavere; angelo; cherubino; stigmate; ala; tomba; aureola; tela
http://www.wikidata.org/entity/Q3698182,Gesù; Maria; donna; uomo
http://www.wikidata.org/entity/Q3698204,Gesù; cranio umano; crocifissione di Gesù
http://www.wikidata.org/entity/Q3704794,
http://www.wikidata.org/entity/Q3706331,
http://www.wikidata.org/entity/Q3709306,Enea; Campi Elisi
http://www.wikidata.org/entity/Q3711898,Madonna col Bambino
http://www.wikidata.org/entity/Q3714445,
http://www.wikidata.org/entity/Q3725199,Cartagine; Enea; Acate
http://www.wikidata.org/entity/Q3725832,Parigi; Enrico IV di Franconia; trionfo; battaglia di Ivry; Enrico IV di Francia
http://www.wikidata.org/entity/Q3731103,
http://www.wikidata.org/entity/Q3732905,Sofronio Eusebio Girolamo; rito funebre; Bernardo di Chiaravalle
http://www.wikidata.org/entity/Q3740793,donna; crocifisso; sandalo; calice; trono; posizione seduta; abito da donna; fede
http://www.wikidata.org/entity/Q3743879,scultura
http://www.wikidata.org/entity/Q3747239,Gesù; Maria; donna; uomo; cardinale; papa Liberio; basilica di Santa Maria Maggiore; Esquilino; piramide Cestia; nobile
http://www.wikidata.org/entity/Q3752350,uomo; Ordine francescano; monaco
http://www.wikidata.org/entity/Q3752977,Artes mechanicae; arti liberali
http://www.wikidata.org/entity/Q3766168,Gesù; uomo; Arresto di Gesù; Marco
http://www.wikidata.org/entity/Q3769202,
http://www.wikidata.org/entity/Q3771679,Giuseppe
http://www.wikidata.org/entity/Q3771746,uomo; spada; telaio della finestra; Giuditta; Giuditta e Oloferne; equità
http://www.wikidata.org/entity/Q3771749,uomo; Zaleuco di Locri
http://www.wikidata.org/entity/Q3775535,Gesù; Maria; donna; uomo; crocifissione di Gesù
http://www.wikidata.org/entity/Q3778382,Cosma e Damiano; Giustiniano; guarigione
http://www.wikidata.org/entity/Q3784247,donna; capelli lunghi; collana; orecchino; abito da donna; Angela del Moro
http://www.wikidata.org/entity/Q3784272,Carduelis carduelis; Giovanni di Cosimo I de' Medici
http://www.wikidata.org/entity/Q3797482,vedetta
http://www.wikidata.org/entity/Q3817178,ponte di Rialto; Vera Croce; Francesco Querini; possessione
http://www.wikidata.org/entity/Q3821139,
http://www.wikidata.org/entity/Q3821405,
http://www.wikidata.org/entity/Q3823990,
http://www.wikidata.org/entity/Q3831651,
http://www.wikidata.org/entity/Q3834971,donna; uomo; pane; tavolo; bicchiere
http://www.wikidata.org/entity/Q3842412,Maria; Madonna col Bambino; Bambino Gesù
http://www.wikidata.org/entity/Q3842413,paesaggio; Bambino Gesù; Madonna col Bambino; Maria
http://www.wikidata.org/entity/Q3842424,Maria; Bambino Gesù
http://www.wikidata.org/entity/Q3842438,Maria; Pietro; Giovanni Battista; Stefano; Antonio abate; Santa Lucia; San Vito; angelo; Leonardo di Noblac; Bambino Gesù; donatore; Miniato di Firenze
http://www.wikidata.org/entity/Q3842439,Maria; donna; ragazzo; madre; Bambino Gesù
http://www.wikidata.org/entity/Q3842472,Maria; ragazzo; madre; Bambino Gesù
http://www.wikidata.org/entity/Q3842484,Maria; libro; Bambino Gesù; Targhetta; Madonna col Bambino
http://www.wikidata.org/entity/Q3842522,Maria; donna; ragazzo; madre; Bambino Gesù; San Giovannino
http://www.wikidata.org/entity/Q3842521,Maria; abbraccio; aureola; croce cristiana; Bambino Gesù; San Giovannino
http://www.wikidata.org/entity/Q3842530,Maria; Sant'Anna; Gioacchino; Giovanni; Sacra conversazione; Bambino Gesù
http://www.wikidata.org/entity/Q3842533,Maria; libro; piante; tenda; finestra; angelo; vaso; lettura; Bambino Gesù
http://www.wikidata.org/entity/Q3842543,Maria; donna; ragazzo; madre; Bambino Gesù; Madonna col Bambino
http://www.wikidata.org/entity/Q3842575,Maria; capelli lunghi; Giovanni Battista; Maria Maddalena; paesaggio; Sacra conversazione; Bambino Gesù
http://www.wikidata.org/entity/Q3842577,Maria; donna; ragazzo; madre; Sofronio Eusebio Girolamo; Bernardo di Chiaravalle; Bambino Gesù
http://www.wikidata.org/entity/Q151047,mare; donna; cielo; vento; albero; Afrodite; capelli lunghi; ombelico; Venere; conchiglia; Ore; angelo; Zefiro; riviera; pianta fiorita; linea costiera; nascita; nascita di Afrodite
http://www.wikidata.org/entity/Q180632,tavolo; tenda; papa Paolo III; Ottavio Farnese; Alessandro Farnese il Giovane; tovaglia
http://www.wikidata.org/entity/Q368788,Gesù; donna; Maria; uomo
http://www.wikidata.org/entity/Q428274,libro; carta; scrittura; strabismo; posizione seduta; scrivania; calamaio; Tommaso Inghirami
http://www.wikidata.org/entity/Q488825,Maria; Sandro Botticelli; Laurus nobilis; Giovanni Argiropulo; Lorenzo de' Medici; Cosimo de' Medici; corona; Giovanni Pico della Mirandola; rovine; San Giuseppe; Filippo Strozzi il Vecchio; Agnolo Poliziano; dono; Teodoro Gaza; Giuliano de' Medici; Adorazione dei Magi; Piero il Gottoso; Bambino Gesù; Giovanni di Cosimo de' Medici; ritratto del donatore; turbante; mangiatoia; Lorenzo Tornabuoni
http://www.wikidata.org/entity/Q493792,Nettuno; nudità; Andrea Doria; albero; tridente; panneggio
http://www.wikidata.org/entity/Q532486,Giuditta e Oloferne; Giuditta
http://www.wikidata.org/entity/Q546297,Gesù; Compianto sul Cristo morto
http://www.wikidata.org/entity/Q549847,mela; donna; fiore; Mercurio; primavera; Cupido; albero; spada; Demetra; Ermes; Venere; freccia; gemma; Cariti; Flora; Zefiro; pianta fiorita; Clori; giardino; arancio
http://www.wikidata.org/entity/Q580853,Maria; madre; angelo; Bambino Gesù; Madonna col Bambino
http://www.wikidata.org/entity/Q592551,dio; marmo; Deruta; vedutismo; san Rocco; bastone da passeggio
http://www.wikidata.org/entity/Q672817,Maria; donna; ragazzo; Bambino Gesù
http://www.wikidata.org/entity/Q732821,acqua; libro; compasso; Luca Pacioli; gessetto; protrattore; Palazzo Ducale; rombicubottaedro; Ordine dei frati minori; spugna; dodecaedro regolare; lavagna
http://www.wikidata.org/entity/Q733017,Equus ferus caballus; drago; spada; san Giorgio; principe; fodero
http://www.wikidata.org/entity/Q734197,Maria; donna; colonna; marmo; portico; Elisabetta; Visitazione della Beata Vergine Maria; tabarro; drapperia; aureola
http://www.wikidata.org/entity/Q742801,giovane uomo
http://www.wikidata.org/entity/Q794077,"Cupido; stemma; Venere; paesaggio; donna vestita, uomo nudo; donna nuda; allegoria"
http://www.wikidata.org/entity/Q867678,donna; ermellino; cortigiana; posizione eretta
http://www.wikidata.org/entity/Q924655,Venezia; colonna; Marco; cadavere; via ad arco
http://www.wikidata.org/entity/Q945250,paesaggio
http://www.wikidata.org/entity/Q945625,uomo; stigmate; Francesco d'Assisi
http://www.wikidata.org/entity/Q948034,velo; Margherita Luti; donna giovane
http://www.wikidata.org/entity/Q955295,Maria; donna; ragazzo; madre; Bambino Gesù; Madonna col Bambino
http://www.wikidata.org/entity/Q959174,paesaggio; medaglia
http://www.wikidata.org/entity/Q1055111,Maria; donna; ragazzo; paesaggio; angelo; bracciolo; Bambino Gesù; telaio della finestra
http://www.wikidata.org/entity/Q1109340,donna; spada; sandalo; coraggio; abito da donna; trono; fortezza; armatura; posizione seduta
http://www.wikidata.org/entity/Q1109475,Maria; donna; strada urbana; Elisabetta; bianco; Abaya; Visitazione della Beata Vergine Maria; posizione eretta; Tichel
http://www.wikidata.org/entity/Q1110146,Maria; donna; uomo; ragazzo; preghiera; arco; edificio; cherubino; bianco; armatura; Bambino Gesù; adorazione dei pastori; nastro; gufo
http://www.wikidata.org/entity/Q1111232,Maria; donna; madre; ragazzo; aureola; Bambino Gesù; Madonna col Bambino
http://www.wikidata.org/entity/Q1113938,città ideale
http://www.wikidata.org/entity/Q1114823,Agostino d'Ippona
http://www.wikidata.org/entity/Q1114856,Maria; donna; ragazzo; Bambino Gesù
http://www.wikidata.org/entity/Q1114881,donna; Venere; dono; vaso; Cariti; putto; angelo; Giovanna degli Albizzi; posizione eretta; tela
http://www.wikidata.org/entity/Q1115413,Verginia
http://www.wikidata.org/entity/Q1115423,Gesù; Maria; uomo; preghiera; santo; Maria Maddalena; Giovanni
http://www.wikidata.org/entity/Q1119008,Maria; donna; piante; uomo; nuvola; Assunzione di Maria; Antonio abate; scettro; Ludovico di Tolosa; angelo; persona anziana; bastone da passeggio
http://www.wikidata.org/entity/Q1119782,Roma; Nerone; Sandro Botticelli; uomo; Pietro; cappello; papa Paolo I; Lorenzo de' Medici; Simone Mago; Mura aureliane; Filippino Lippi; farsetto; Antonio del Pollaiolo; piramide Cestia; crocifissione; bastone da passeggio
http://www.wikidata.org/entity/Q1121644,Equus ferus caballus; uomo; carro
http://www.wikidata.org/entity/Q1122002,Gesù; Maria; donna; uomo; ragazzo; preghiera; paesaggio; Gabriele; san Sebastiano; bianco; Vincenzo Ferreri; Bambino Gesù; angelo; San Cristoforo; martirio di San Sebastiano
http://www.wikidata.org/entity/Q1122537,Nettuno; Giove; Plutone
http://www.wikidata.org/entity/Q1131263,Gesù; Maria; donna; libro; uomo; santo; corona; angelo; croce cristiana
