id,generi
http://www.wikidata.org/entity/Q151047,nudo artistico; pittura mitologica
http://www.wikidata.org/entity/Q180632,ritratto; ritratto di gruppo
http://www.wikidata.org/entity/Q368788,arte religiosa
http://www.wikidata.org/entity/Q428274,ritratto
http://www.wikidata.org/entity/Q488825,arte religiosa
http://www.wikidata.org/entity/Q493792,nudo artistico; allegoria; portrait historié
http://www.wikidata.org/entity/Q532486,arte religiosa
http://www.wikidata.org/entity/Q546297,arte religiosa
http://www.wikidata.org/entity/Q549847,allegoria; pittura mitologica
http://www.wikidata.org/entity/Q580853,arte religiosa
http://www.wikidata.org/entity/Q592551,arte religiosa
http://www.wikidata.org/entity/Q672817,arte religiosa
http://www.wikidata.org/entity/Q732821,ritratto
http://www.wikidata.org/entity/Q733017,arte religiosa
http://www.wikidata.org/entity/Q734197,arte religiosa
http://www.wikidata.org/entity/Q742801,ritratto
http://www.wikidata.org/entity/Q794077,allegoria
http://www.wikidata.org/entity/Q867678,ritratto
http://www.wikidata.org/entity/Q924655,arte religiosa
http://www.wikidata.org/entity/Q945250,ritratto
http://www.wikidata.org/entity/Q945625,arte religiosa
http://www.wikidata.org/entity/Q948034,ritratto
http://www.wikidata.org/entity/Q955295,arte religiosa
http://www.wikidata.org/entity/Q959174,ritratto
http://www.wikidata.org/entity/Q1055111,arte religiosa
http://www.wikidata.org/entity/Q1109340,allegoria
http://www.wikidata.org/entity/Q1109475,arte religiosa
http://www.wikidata.org/entity/Q1110146,arte religiosa
http://www.wikidata.org/entity/Q1111232,arte religiosa
http://www.wikidata.org/entity/Q1113938,paesaggio urbano
http://www.wikidata.org/entity/Q1114823,arte religiosa
http://www.wikidata.org/entity/Q1114856,arte religiosa
http://www.wikidata.org/entity/Q1114881,pittura mitologica
http://www.wikidata.org/entity/Q1115413,pittura mitologica
http://www.wikidata.org/entity/Q1115423,arte religiosa
http://www.wikidata.org/entity/Q1119008,arte religiosa
http://www.wikidata.org/entity/Q1119782,arte religiosa
http://www.wikidata.org/entity/Q1121644,arte di genere
http://www.wikidata.org/entity/Q1122002,arte religiosa
http://www.wikidata.org/entity/Q1122537,pittura mitologica
http://www.wikidata.org/entity/Q1131263,arte religiosa
http://www.wikidata.org/entity/Q1132479,arte religiosa
http://www.wikidata.org/entity/Q1132486,arte religiosa
http://www.wikidata.org/entity/Q1134060,nudo artistico; arte religiosa
http://www.wikidata.org/entity/Q1195035,arte di genere
http://www.wikidata.org/entity/Q1212920,arte religiosa
http://www.wikidata.org/entity/Q1215809,arte religiosa
http://www.wikidata.org/entity/Q1217187,pittura mitologica
http://www.wikidata.org/entity/Q1237596,pittura mitologica
http://www.wikidata.org/entity/Q1240092,ritratto
http://www.wikidata.org/entity/Q1328065,ritratto
http://www.wikidata.org/entity/Q1448203,arte religiosa
http://www.wikidata.org/entity/Q1448701,arte religiosa
http://www.wikidata.org/entity/Q1460271,ritratto
http://www.wikidata.org/entity/Q1751408,arte religiosa
http://www.wikidata.org/entity/Q1761496,arte religiosa
