id,luoghi
http://www.wikidata.org/entity/Q151047,
http://www.wikidata.org/entity/Q180632,Museo nazionale di Capodimonte
http://www.wikidata.org/entity/Q368788,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q428274,Galleria Palatina
http://www.wikidata.org/entity/Q488825,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q493792,Pinacoteca di Brera
http://www.wikidata.org/entity/Q532486,Palazzo Pitti
http://www.wikidata.org/entity/Q546297,Pinacoteca di Brera
http://www.wikidata.org/entity/Q549847,Palazzo Medici Riccardi; Galleria delle pitture e delle statue degli Uffizi
http://www.wikidata.org/entity/Q580853,Spedale degli Innocenti
http://www.wikidata.org/entity/Q592551,Pinacoteca comunale
http://www.wikidata.org/entity/Q672817,Galleria nazionale dell'Umbria
http://www.wikidata.org/entity/Q732821,Museo nazionale di Capodimonte
http://www.wikidata.org/entity/Q733017,cappella Pellegrini
http://www.wikidata.org/entity/Q734197,cappella degli Scrovegni
http://www.wikidata.org/entity/Q742801,Galleria Palatina
http://www.wikidata.org/entity/Q794077,Galleria Borghese
http://www.wikidata.org/entity/Q867678,Museo nazionale di Capodimonte
http://www.wikidata.org/entity/Q924655,Gallerie dell'Accademia
http://www.wikidata.org/entity/Q945250,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q945625,
http://www.wikidata.org/entity/Q948034,Sala di Giove
http://www.wikidata.org/entity/Q955295,Musei civici di Palazzo Buonaccorsi
http://www.wikidata.org/entity/Q959174,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q1055111,
http://www.wikidata.org/entity/Q1109340,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q1109475,propositura dei Santi Michele e Francesco
http://www.wikidata.org/entity/Q1110146,collegiata dei Santi Nazaro e Celso
http://www.wikidata.org/entity/Q1111232,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q1113938,Galleria nazionale delle Marche; Ex monastero di Santa Chiara
http://www.wikidata.org/entity/Q1114823,Palazzo degli Uffizi; casa di Bernardo Vecchietti
http://www.wikidata.org/entity/Q1114856,Pinacoteca Ambrosiana
http://www.wikidata.org/entity/Q1114881,Museo del Louvre; Villa Lemmi
http://www.wikidata.org/entity/Q1115413,Accademia Carrara
http://www.wikidata.org/entity/Q1115423,Museo Poldi Pezzoli; chiesa di Santa Maria Maggiore
http://www.wikidata.org/entity/Q1119008,duomo di Asolo
http://www.wikidata.org/entity/Q1119782,cappella Brancacci
http://www.wikidata.org/entity/Q1121644,Palazzo Pitti
http://www.wikidata.org/entity/Q1122002,basilica dei Santi Giovanni e Paolo
http://www.wikidata.org/entity/Q1122537,Villa Ludovisi
http://www.wikidata.org/entity/Q1131263,Palazzo degli Uffizi; basilica di San Marco
http://www.wikidata.org/entity/Q1132479,Italia; santuario di Santa Lucia al Sepolcro
http://www.wikidata.org/entity/Q1132486,Gallerie d'Italia
http://www.wikidata.org/entity/Q1134060,Galleria Borghese
http://www.wikidata.org/entity/Q1195035,Pinacoteca di Brera
http://www.wikidata.org/entity/Q1212920,Galleria nazionale delle Marche
http://www.wikidata.org/entity/Q1215809,Museo di San Marco
http://www.wikidata.org/entity/Q1217187,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q1237596,Villa medicea di Poggio a Caiano
http://www.wikidata.org/entity/Q1240092,Galleria Doria Pamphilj
http://www.wikidata.org/entity/Q1328065,Palazzo degli Uffizi
http://www.wikidata.org/entity/Q1448203,Roma
http://www.wikidata.org/entity/Q1448701,Palazzo degli Alberti
