id,movimenti
http://www.wikidata.org/entity/Q151047,Rinascimento; Primo Rinascimento
http://www.wikidata.org/entity/Q180632,manierismo; pittura veneta
http://www.wikidata.org/entity/Q368788,rinascimento italiano
http://www.wikidata.org/entity/Q428274,Alto Rinascimento
http://www.wikidata.org/entity/Q488825,Primo Rinascimento; pittura rinascimentale italiana
http://www.wikidata.org/entity/Q493792,manierismo
http://www.wikidata.org/entity/Q532486,
http://www.wikidata.org/entity/Q546297,Primo Rinascimento; pittura rinascimentale italiana
http://www.wikidata.org/entity/Q549847,Primo Rinascimento
http://www.wikidata.org/entity/Q580853,Primo Rinascimento
http://www.wikidata.org/entity/Q592551,Scuola umbra
http://www.wikidata.org/entity/Q672817,rinascimento italiano
http://www.wikidata.org/entity/Q732821,
http://www.wikidata.org/entity/Q733017,
http://www.wikidata.org/entity/Q734197,protorinascimento
http://www.wikidata.org/entity/Q742801,Primo Rinascimento
http://www.wikidata.org/entity/Q794077,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q867678,Alto Rinascimento
http://www.wikidata.org/entity/Q924655,manierismo; pittura veneta
http://www.wikidata.org/entity/Q945250,Alto Rinascimento
http://www.wikidata.org/entity/Q945625,Alto Rinascimento
http://www.wikidata.org/entity/Q948034,Alto Rinascimento
http://www.wikidata.org/entity/Q955295,pittura rinascimentale italiana
http://www.wikidata.org/entity/Q959174,Primo Rinascimento
http://www.wikidata.org/entity/Q1055111,
http://www.wikidata.org/entity/Q1109340,Primo Rinascimento
http://www.wikidata.org/entity/Q1109475,
http://www.wikidata.org/entity/Q1110146,Rinascimento
http://www.wikidata.org/entity/Q1111232,
http://www.wikidata.org/entity/Q1113938,rinascimento italiano
http://www.wikidata.org/entity/Q1114823,Primo Rinascimento
http://www.wikidata.org/entity/Q1114856,Primo Rinascimento
http://www.wikidata.org/entity/Q1114881,Primo Rinascimento
http://www.wikidata.org/entity/Q1115413,Primo Rinascimento
http://www.wikidata.org/entity/Q1115423,Primo Rinascimento
http://www.wikidata.org/entity/Q1119008,Alto Rinascimento
http://www.wikidata.org/entity/Q1119782,Alto Rinascimento
http://www.wikidata.org/entity/Q1121644,Macchiaioli
http://www.wikidata.org/entity/Q1122002,pittura rinascimentale italiana
http://www.wikidata.org/entity/Q1122537,barocco
http://www.wikidata.org/entity/Q1131263,Primo Rinascimento
http://www.wikidata.org/entity/Q1132479,barocco
http://www.wikidata.org/entity/Q1132486,barocco
http://www.wikidata.org/entity/Q1134060,
http://www.wikidata.org/entity/Q1195035,
http://www.wikidata.org/entity/Q1212920,Primo Rinascimento
http://www.wikidata.org/entity/Q1215809,rinascimento italiano
http://www.wikidata.org/entity/Q1217187,Primo Rinascimento
http://www.wikidata.org/entity/Q1237596,
http://www.wikidata.org/entity/Q1240092,pittura spagnola barocca
http://www.wikidata.org/entity/Q1328065,manierismo
http://www.wikidata.org/entity/Q1448203,
http://www.wikidata.org/entity/Q1448701,barocco
http://www.wikidata.org/entity/Q1460271,
http://www.wikidata.org/entity/Q1751408,Primo Rinascimento; pittura rinascimentale italiana
http://www.wikidata.org/entity/Q1761496,Primo Rinascimento
http://www.wikidata.org/entity/Q1762826,pittura veneta; Primo Rinascimento
http://www.wikidata.org/entity/Q1863885,
http://www.wikidata.org/entity/Q1899740,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q2011510,manierismo
http://www.wikidata.org/entity/Q2016193,gotico; protorinascimento
http://www.wikidata.org/entity/Q2030685,Alto Rinascimento
http://www.wikidata.org/entity/Q2035209,Alto Rinascimento
http://www.wikidata.org/entity/Q2045726,Alto Rinascimento
http://www.wikidata.org/entity/Q2066739,Rinascimento
http://www.wikidata.org/entity/Q2092566,
http://www.wikidata.org/entity/Q2097931,
http://www.wikidata.org/entity/Q2247307,Primo Rinascimento
http://www.wikidata.org/entity/Q2264942,
http://www.wikidata.org/entity/Q2267509,Primo Rinascimento
http://www.wikidata.org/entity/Q2268013,Primo Rinascimento
http://www.wikidata.org/entity/Q2269291,umanesimo
http://www.wikidata.org/entity/Q2269585,Primo Rinascimento
http://www.wikidata.org/entity/Q2270291,
http://www.wikidata.org/entity/Q2273517,barocco
http://www.wikidata.org/entity/Q2275353,barocco
http://www.wikidata.org/entity/Q2275371,barocco
http://www.wikidata.org/entity/Q2277635,barocco
http://www.wikidata.org/entity/Q2284829,
http://www.wikidata.org/entity/Q2293905,
http://www.wikidata.org/entity/Q2293936,
http://www.wikidata.org/entity/Q2325834,barocco
http://www.wikidata.org/entity/Q2327715,barocco
http://www.wikidata.org/entity/Q2337873,barocco
http://www.wikidata.org/entity/Q2338404,rinascimento italiano
http://www.wikidata.org/entity/Q2338417,barocco
http://www.wikidata.org/entity/Q2343939,Alto Rinascimento
http://www.wikidata.org/entity/Q2405771,Primo Rinascimento
http://www.wikidata.org/entity/Q2426058,Primo Rinascimento
http://www.wikidata.org/entity/Q2448678,
http://www.wikidata.org/entity/Q2459887,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q2470123,barocco
http://www.wikidata.org/entity/Q2472983,manierismo; pittura veneta
http://www.wikidata.org/entity/Q2515309,Alto Rinascimento
http://www.wikidata.org/entity/Q2551625,Primo Rinascimento
http://www.wikidata.org/entity/Q2610729,Alto Rinascimento
http://www.wikidata.org/entity/Q2610936,
http://www.wikidata.org/entity/Q2626595,barocco
http://www.wikidata.org/entity/Q2627056,Caravaggismo
http://www.wikidata.org/entity/Q2629715,Alto Rinascimento
http://www.wikidata.org/entity/Q2635552,Alto Rinascimento
http://www.wikidata.org/entity/Q2665840,pittura veneta
http://www.wikidata.org/entity/Q2713203,barocco
http://www.wikidata.org/entity/Q2713823,Alto Rinascimento
http://www.wikidata.org/entity/Q2714237,Primo Rinascimento
http://www.wikidata.org/entity/Q2715177,
http://www.wikidata.org/entity/Q2715302,
http://www.wikidata.org/entity/Q2717478,Primo Rinascimento
http://www.wikidata.org/entity/Q2732274,barocco
http://www.wikidata.org/entity/Q2734111,barocco
http://www.wikidata.org/entity/Q2866382,protorinascimento
http://www.wikidata.org/entity/Q2872721,
http://www.wikidata.org/entity/Q2920183,pittura veneta; Alto Rinascimento
http://www.wikidata.org/entity/Q2929922,protorinascimento
http://www.wikidata.org/entity/Q3044873,protorinascimento
http://www.wikidata.org/entity/Q3185885,protorinascimento
http://www.wikidata.org/entity/Q3201479,rinascimento italiano
http://www.wikidata.org/entity/Q3207247,futurismo
http://www.wikidata.org/entity/Q3207678,rinascimento italiano
http://www.wikidata.org/entity/Q3207989,rinascimento italiano
http://www.wikidata.org/entity/Q3210267,Primo Rinascimento
http://www.wikidata.org/entity/Q3213773,Primo Rinascimento
http://www.wikidata.org/entity/Q3213778,Primo Rinascimento
http://www.wikidata.org/entity/Q3213801,Primo Rinascimento
http://www.wikidata.org/entity/Q3220282,
http://www.wikidata.org/entity/Q3223625,
http://www.wikidata.org/entity/Q3276171,protorinascimento
