id,soggetti
http://www.wikidata.org/entity/Q151047,Venere Anadiomene; nascita di Afrodite
http://www.wikidata.org/entity/Q180632,papa Paolo III
http://www.wikidata.org/entity/Q368788,Pietà
http://www.wikidata.org/entity/Q428274,Tommaso Inghirami
http://www.wikidata.org/entity/Q488825,Adorazione dei Magi
http://www.wikidata.org/entity/Q493792,Andrea Doria
http://www.wikidata.org/entity/Q532486,Giuditta e Oloferne
http://www.wikidata.org/entity/Q546297,Compianto sul Cristo morto
http://www.wikidata.org/entity/Q549847,primavera
http://www.wikidata.org/entity/Q580853,Madonna col Bambino
http://www.wikidata.org/entity/Q592551,
http://www.wikidata.org/entity/Q672817,
http://www.wikidata.org/entity/Q732821,Luca Pacioli
http://www.wikidata.org/entity/Q733017,san Giorgio e il drago
http://www.wikidata.org/entity/Q734197,Visitazione della Beata Vergine Maria
http://www.wikidata.org/entity/Q742801,giovane uomo
http://www.wikidata.org/entity/Q794077,amore
http://www.wikidata.org/entity/Q867678,
http://www.wikidata.org/entity/Q924655,
http://www.wikidata.org/entity/Q945250,
http://www.wikidata.org/entity/Q945625,Stimmate di San Francesco
http://www.wikidata.org/entity/Q948034,donna giovane
http://www.wikidata.org/entity/Q955295,Madonna col Bambino
http://www.wikidata.org/entity/Q959174,uomo
http://www.wikidata.org/entity/Q1055111,Madonna col Bambino
http://www.wikidata.org/entity/Q1109340,coraggio
http://www.wikidata.org/entity/Q1109475,Visitazione della Beata Vergine Maria
http://www.wikidata.org/entity/Q1110146,adorazione dei pastori
http://www.wikidata.org/entity/Q1111232,Madonna col Bambino
http://www.wikidata.org/entity/Q1113938,Città ideale
http://www.wikidata.org/entity/Q1114823,
http://www.wikidata.org/entity/Q1114856,
http://www.wikidata.org/entity/Q1114881,
http://www.wikidata.org/entity/Q1115413,
http://www.wikidata.org/entity/Q1115423,Compianto sul Cristo morto
http://www.wikidata.org/entity/Q1119008,Assunzione di Maria
http://www.wikidata.org/entity/Q1119782,
http://www.wikidata.org/entity/Q1121644,
http://www.wikidata.org/entity/Q1122002,Pietà
http://www.wikidata.org/entity/Q1122537,
http://www.wikidata.org/entity/Q1131263,Incoronazione della Vergine
http://www.wikidata.org/entity/Q1132479,
http://www.wikidata.org/entity/Q1132486,
http://www.wikidata.org/entity/Q1134060,Susanna e i vecchioni
http://www.wikidata.org/entity/Q1195035,
http://www.wikidata.org/entity/Q1212920,flagellazione di Gesù
http://www.wikidata.org/entity/Q1215809,Madonna col Bambino
http://www.wikidata.org/entity/Q1217187,allegoria
http://www.wikidata.org/entity/Q1237596,
http://www.wikidata.org/entity/Q1240092,papa Innocenzo X
http://www.wikidata.org/entity/Q1328065,
http://www.wikidata.org/entity/Q1448203,conversione di Paolo
http://www.wikidata.org/entity/Q1448701,
http://www.wikidata.org/entity/Q1460271,papa Paolo V
http://www.wikidata.org/entity/Q1751408,Sacra conversazione
http://www.wikidata.org/entity/Q1761496,Sacra conversazione
http://www.wikidata.org/entity/Q1762826,Madonna col Bambino
http://www.wikidata.org/entity/Q1863885,Mosè e le figlie di Ietro
http://www.wikidata.org/entity/Q1899740,Assunzione di Maria
http://www.wikidata.org/entity/Q2011510,Bacco
http://www.wikidata.org/entity/Q2016193,maestà
http://www.wikidata.org/entity/Q2030685,sposalizio della Vergine
http://www.wikidata.org/entity/Q2035209,Madonna col Bambino
http://www.wikidata.org/entity/Q2045726,battaglia di Anghiari
http://www.wikidata.org/entity/Q2066739,Sacra conversazione
http://www.wikidata.org/entity/Q2092566,Tobia e l'angelo
http://www.wikidata.org/entity/Q2097931,cena di Emmaus
http://www.wikidata.org/entity/Q2247307,
http://www.wikidata.org/entity/Q2264942,flagellazione di Gesù
http://www.wikidata.org/entity/Q2267509,
http://www.wikidata.org/entity/Q2268013,Madonna col Bambino
http://www.wikidata.org/entity/Q2269291,Madonna col Bambino
http://www.wikidata.org/entity/Q2269585,Madonna col Bambino
http://www.wikidata.org/entity/Q2270291,
http://www.wikidata.org/entity/Q2273517,conversione di Paolo
http://www.wikidata.org/entity/Q2275353,Francesco d'Assisi
http://www.wikidata.org/entity/Q2275371,Francesco d'Assisi
