id,titolo
http://www.wikidata.org/entity/Q428274,"Ritratto di Fedra Inghirami, detto Fedra"
http://www.wikidata.org/entity/Q151047,Nascita di Venere
http://www.wikidata.org/entity/Q180632,Ritratto di Paolo III con i nipoti Alessandro e Ottavio Farnese
http://www.wikidata.org/entity/Q368788,Pietà
http://www.wikidata.org/entity/Q549847,Primavera
http://www.wikidata.org/entity/Q488825,Adorazione dei Magi
http://www.wikidata.org/entity/Q532486,Giuditta con la sua ancella
http://www.wikidata.org/entity/Q493792,Ritratto di Andrea Doria nelle vesti di Nettuno
http://www.wikidata.org/entity/Q546297,Cristo morto nel sepolcro e tre dolenti
http://www.wikidata.org/entity/Q580853,Madonna col Bambino degli Innocenti
http://www.wikidata.org/entity/Q592551,Padre Eterno con i santi Rocco e Romano
http://www.wikidata.org/entity/Q959174,Ritratto d'uomo con medaglia di Cosimo il Vecchio
http://www.wikidata.org/entity/Q734197,Visitazione
http://www.wikidata.org/entity/Q742801,Ritratto di giovane
http://www.wikidata.org/entity/Q733017,San Giorgio e la principessa
http://www.wikidata.org/entity/Q672817,Gonfalone della Giustizia
http://www.wikidata.org/entity/Q732821,Ritratto di Luca Pacioli
http://www.wikidata.org/entity/Q1055111,Lippina
http://www.wikidata.org/entity/Q1134060,Susanna e i vecchioni
http://www.wikidata.org/entity/Q1111232,Madonna col Bambino
http://www.wikidata.org/entity/Q1109340,La Fortezza
http://www.wikidata.org/entity/Q1109475,Visitazione di Carmignano
http://www.wikidata.org/entity/Q1110146,Adorazione dei pastori con i santi Nazario e Celso
http://www.wikidata.org/entity/Q1113938,Città ideale - Urbino
http://www.wikidata.org/entity/Q1114823,Sant'Agostino nello studio
http://www.wikidata.org/entity/Q1114856,Madonna del Padiglione
http://www.wikidata.org/entity/Q1114881,Venere e le tre Grazie offrono doni a una giovane
http://www.wikidata.org/entity/Q867678,Antea
http://www.wikidata.org/entity/Q794077,Amor sacro e Amor profano
http://www.wikidata.org/entity/Q948034,La Velata
http://www.wikidata.org/entity/Q945625,Stigmate di san Francesco
http://www.wikidata.org/entity/Q924655,Trafugamento del corpo di san Marco
http://www.wikidata.org/entity/Q945250,Ritratto di Francesco delle Opere
http://www.wikidata.org/entity/Q955295,Madonna di Macerata
http://www.wikidata.org/entity/Q1115423,Compianto sul Cristo morto
http://www.wikidata.org/entity/Q1115413,Storie di Virginia
http://www.wikidata.org/entity/Q1119008,Pala di Asolo
http://www.wikidata.org/entity/Q1119782,Disputa di Simon Mago e crocifissione di san Pietro
http://www.wikidata.org/entity/Q1121644,Barrocci romani
http://www.wikidata.org/entity/Q1122002,Polittico di San Vincenzo Ferrer
http://www.wikidata.org/entity/Q1122537,"Giove, Nettuno e Plutone"
http://www.wikidata.org/entity/Q1131263,Pala di San Marco
http://www.wikidata.org/entity/Q1132486,Martirio di sant'Orsola
http://www.wikidata.org/entity/Q1132479,Seppellimento di santa Lucia
http://www.wikidata.org/entity/Q1460271,Ritratto di papa Paolo V
http://www.wikidata.org/entity/Q1237596,Vertumno e Pomona
http://www.wikidata.org/entity/Q1240092,Ritratto di Innocenzo X
http://www.wikidata.org/entity/Q1448701,Incoronazione di spine
http://www.wikidata.org/entity/Q1448203,Conversione di san Paolo
http://www.wikidata.org/entity/Q1328065,Ritratto di Eleonora di Toledo col figlio Giovanni de' Medici
http://www.wikidata.org/entity/Q1217187,Calunnia
http://www.wikidata.org/entity/Q1195035,Il bacio
http://www.wikidata.org/entity/Q1212920,Flagellazione di Cristo
http://www.wikidata.org/entity/Q1215809,Pala di San Marco
http://www.wikidata.org/entity/Q2011510,Bacco
http://www.wikidata.org/entity/Q2030685,Sposalizio della Vergine
http://www.wikidata.org/entity/Q2016193,Maestà di Ognissanti
http://www.wikidata.org/entity/Q2035209,Madonna del Granduca
http://www.wikidata.org/entity/Q2092566,Arcangelo Raffaele e Tobiolo
http://www.wikidata.org/entity/Q2097931,Cena in Emmaus
http://www.wikidata.org/entity/Q2045726,Battaglia di Anghiari
http://www.wikidata.org/entity/Q2066739,Pala di San Zeno
http://www.wikidata.org/entity/Q1863885,Mosè difende le figlie di Jetro
http://www.wikidata.org/entity/Q1899740,Assunta
http://www.wikidata.org/entity/Q1751408,Pala di San Giobbe
http://www.wikidata.org/entity/Q1761496,Pala di Sant'Ambrogio
http://www.wikidata.org/entity/Q1762826,Madonna Contarini
http://www.wikidata.org/entity/Q2866382,Ascensione
http://www.wikidata.org/entity/Q2872721,Autoritratto con tre collari
http://www.wikidata.org/entity/Q2920183,Annunciazione (Tiziano Chiesa di San Salvador)
http://www.wikidata.org/entity/Q2929922,Benedizione di Isacco a Giacobbe
http://www.wikidata.org/entity/Q2325834,Ecce Homo
http://www.wikidata.org/entity/Q2284829,Sacrificio di Isacco
http://www.wikidata.org/entity/Q2293905,Medusa
http://www.wikidata.org/entity/Q2293936,Autoritratto in veste di bacco (Bacchino malato)
http://www.wikidata.org/entity/Q2472983,Ultima Cena
http://www.wikidata.org/entity/Q2470123,Giuditta che decapita Oloferne
http://www.wikidata.org/entity/Q2327715,Adorazione dei pastori
http://www.wikidata.org/entity/Q2337873,San Matteo e l'angelo
http://www.wikidata.org/entity/Q2338404,Ritratto di musico
http://www.wikidata.org/entity/Q2338417,Martirio di san Matteo
http://www.wikidata.org/entity/Q2343939,San Sebastiano
http://www.wikidata.org/entity/Q2448678,Strage degli innocenti
http://www.wikidata.org/entity/Q2405771,Ritratto di giovane donna
http://www.wikidata.org/entity/Q2459887,Cristo della moneta
http://www.wikidata.org/entity/Q2426058,Pallade e il centauro
http://www.wikidata.org/entity/Q2268013,Madonna col Bambino e due angeli
http://www.wikidata.org/entity/Q2264942,Flagellazione di Cristo
http://www.wikidata.org/entity/Q2269291,Madonna della Melagrana
http://www.wikidata.org/entity/Q2269585,Madonna del Libro
http://www.wikidata.org/entity/Q2247307,Polittico della Misericordia
http://www.wikidata.org/entity/Q2267509,Ritorno di Giuditta a Betulia
http://www.wikidata.org/entity/Q2270291,Canestra di frutta
http://www.wikidata.org/entity/Q3044873,Deposizione dalla croce
http://www.wikidata.org/entity/Q2273517,Conversione di san Paolo
http://www.wikidata.org/entity/Q2277635,Resurrezione di Lazzaro
http://www.wikidata.org/entity/Q2275353,San Francesco in meditazione
http://www.wikidata.org/entity/Q2275371,San Francesco in meditazione
http://www.wikidata.org/entity/Q2734111,Ritratto di Maffeo Barberini
http://www.wikidata.org/entity/Q2732274,Maddalena penitente
http://www.wikidata.org/entity/Q2715177,San Girolamo
http://www.wikidata.org/entity/Q2713203,Madonna dei Pellegrini
http://www.wikidata.org/entity/Q2713823,Ritratto di giovane con la mela
http://www.wikidata.org/entity/Q2714237,Annunciazione di Cestello
http://www.wikidata.org/entity/Q2715302,Madonna dei Palafrenieri
http://www.wikidata.org/entity/Q2717478,Madonna della Loggia
http://www.wikidata.org/entity/Q2635552,Ritratto del cardinale Alessandro Farnese
http://www.wikidata.org/entity/Q2665840,Pietà
http://www.wikidata.org/entity/Q2629715,Ritratto virile
http://www.wikidata.org/entity/Q2627056,Davide con la testa di Golia
http://www.wikidata.org/entity/Q2610729,Ritratto di Leone X con i cardinali Giulio de' Medici e Luigi de' Rossi
http://www.wikidata.org/entity/Q2551625,Madonna del Magnificat
http://www.wikidata.org/entity/Q2515309,Ritratto di Agnolo Doni
http://www.wikidata.org/entity/Q2610936,giovane con canestra di frutta
http://www.wikidata.org/entity/Q2626595,Sette opere di Misericordia
http://www.wikidata.org/entity/Q3625842,Ritratto di Cosimo I de' Medici
http://www.wikidata.org/entity/Q3623738,Arresto dei fratelli di Giuseppe
http://www.wikidata.org/entity/Q3276171,Madonna di San Giorgio alla Costa
http://www.wikidata.org/entity/Q3276180,Madonna col Bambino ridente
http://www.wikidata.org/entity/Q3220282,Battesimo di Cristo
http://www.wikidata.org/entity/Q3223625,San Giovanni Battista
http://www.wikidata.org/entity/Q3207678,Compianto sul Cristo morto
http://www.wikidata.org/entity/Q3210267,Madonna del Mare
http://www.wikidata.org/entity/Q3213801,Madonna del Roseto
http://www.wikidata.org/entity/Q3185885,Giuseppe calato nel pozzo
http://www.wikidata.org/entity/Q3201479,Adorazione dei Magi degli Innocenti
http://www.wikidata.org/entity/Q3207247,Carica di lancieri
http://www.wikidata.org/entity/Q3207989,"Crocifissione con i Santi Girolamo, Francesco, Maria Maddalena, Giovanni Battista e il beato Giovanni Colombini"
http://www.wikidata.org/entity/Q3213773,Madonna in gloria di serafini
http://www.wikidata.org/entity/Q3213778,"Madonna col Bambino, due angeli e Giovanni Battista"
http://www.wikidata.org/entity/Q3276168,Madonna di Borgo San Lorenzo
http://www.wikidata.org/entity/Q3605530,Adorazione dei Magi
http://www.wikidata.org/entity/Q3605532,Adorazione dei Magi
http://www.wikidata.org/entity/Q3605568,Adorazione del Bambino di Camaldoli
http://www.wikidata.org/entity/Q3618188,Annunciazione Della Scala
http://www.wikidata.org/entity/Q3620766,Apoteosi di san Gaetano Thiene
http://www.wikidata.org/entity/Q3620765,Apoteosi di Angelo della Vecchia nel segno delle virtù
http://www.wikidata.org/entity/Q3495790,Salomè
http://www.wikidata.org/entity/Q3464027,San Pietro
http://www.wikidata.org/entity/Q3472935,Santo Stefano
http://www.wikidata.org/entity/Q3463871,San Giovannino
http://www.wikidata.org/entity/Q3471589,San Paolo
http://www.wikidata.org/entity/Q3399438,Ritratto di Giuliano de' Medici
http://www.wikidata.org/entity/Q3639064,Bestie da soma
http://www.wikidata.org/entity/Q3636748,Battesimo di Cristo
http://www.wikidata.org/entity/Q3627401,Assunzione di Maria
http://www.wikidata.org/entity/Q3630726,Autoritratto
http://www.wikidata.org/entity/Q3650885,Calliope
http://www.wikidata.org/entity/Q3642142,Bonifacio VIII indice il giubileo del 1300
http://www.wikidata.org/entity/Q3685501,Comunione degli Apostoli
http://www.wikidata.org/entity/Q3686814,Congedo di san Floriano
http://www.wikidata.org/entity/Q3704794,Deianira presta ascolto alla Fama
http://www.wikidata.org/entity/Q3706331,Devozione dei fiorentini alle reliquie di san Filippo
http://www.wikidata.org/entity/Q3709306,Discesa di Enea nei campi elisi
http://www.wikidata.org/entity/Q3711898,Dittico della Crocifissione e della Madonna col Bambino e santi
http://www.wikidata.org/entity/Q3714445,Dossale dei quattro santi
http://www.wikidata.org/entity/Q3698182,Crocifissione
http://www.wikidata.org/entity/Q3698204,Crocifissione
http://www.wikidata.org/entity/Q3697588,Cristo alla colonna
http://www.wikidata.org/entity/Q3697602,Cristo coronato di spine
http://www.wikidata.org/entity/Q3697640,Cristo in pietà sorretto da due angeli
http://www.wikidata.org/entity/Q3743879,Festa degli amorini
http://www.wikidata.org/entity/Q3747239,Fondazione di Santa Maria Maggiore
http://www.wikidata.org/entity/Q3731103,Erato
http://www.wikidata.org/entity/Q3740793,Fede
http://www.wikidata.org/entity/Q3725199,Enea e Acate sulla costa libica
http://www.wikidata.org/entity/Q3725832,Enrico IV alla battaglia d'Ivry
http://www.wikidata.org/entity/Q3732905,Esequie di san Girolamo
http://www.wikidata.org/entity/Q3752350,Frate francescano
http://www.wikidata.org/entity/Q3752977,Fregio delle arti liberali e meccaniche
http://www.wikidata.org/entity/Q3766168,Giovane in fuga dalla cattura di Cristo
http://www.wikidata.org/entity/Q3771746,Giustizia
http://www.wikidata.org/entity/Q3784247,La Bella
http://www.wikidata.org/entity/Q3769202,Giudizio finale e Inferno
